Humidity,Temperature,Quality Index
69.24,30.70,36.59
69.48,30.70,36.66
69.40,30.65,36.51
69.43,30.63,36.47
69.47,30.67,36.57
69.50,30.62,36.45
69.47,30.70,36.65
69.40,30.60,36.38
69.42,30.60,36.38
69.50,30.60,36.41
69.43,30.60,36.39
69.50,30.60,36.41
69.42,30.60,36.38
69.52,30.60,36.41
69.87,30.60,36.51
69.50,30.60,36.41
69.38,30.60,36.37
69.25,30.60,36.34
69.22,30.60,36.33
69.22,30.60,36.33
69.13,30.60,36.31
70.07,30.75,36.97
68.63,30.87,36.85
68.77,30.72,36.50
68.98,30.70,36.52
69.03,30.60,36.28
69.13,30.60,36.31
69.20,30.60,36.32
69.10,30.60,36.30
69.08,30.60,36.29
69.20,30.53,36.16
69.40,30.45,36.00
69.70,30.40,35.95
69.98,30.42,36.07
70.00,30.40,36.03
70.08,30.40,36.05
70.10,30.40,36.06
70.08,30.40,36.05
70.00,30.38,36.03
70.07,30.40,36.05
69.88,30.45,36.13
69.72,30.50,36.21
69.58,30.50,36.17
69.55,30.45,36.04
69.57,30.40,35.92
69.58,30.43,36.01
69.62,30.43,36.02
69.63,30.40,35.94
69.80,30.40,35.98
69.78,30.42,36.02
69.68,30.40,35.95
69.72,30.40,35.96
69.73,30.40,35.96
69.67,30.40,35.94
69.68,30.40,35.95
69.62,30.40,35.93
69.70,30.40,35.95
69.58,30.40,35.92
69.50,30.40,35.90
39.66,28.30,29.09
40.23,26.83,26.76
36.07,26.33,26.09
38.98,25.95,25.62
38.97,25.72,25.36
40.60,25.60,25.28
43.80,25.60,25.36
39.68,25.55,25.20
42.13,25.50,25.21
51.85,25.63,25.60
49.08,25.55,25.44
50.45,25.35,25.26
52.50,25.25,25.20
53.93,25.18,25.16
56.75,25.30,25.37
55.63,25.40,25.45
57.18,25.48,25.57
66.30,25.05,25.34
74.38,22.85,23.13
67.55,20.48,20.34
81.53,18.00,17.98
93.60,16.65,16.81
80.20,15.20,14.87
96.45,15.00,15.07
98.43,14.70,14.80
99.83,14.70,14.83
95.25,13.77,13.70
99.13,13.48,13.47
97.90,13.45,13.41
97.50,13.55,13.51
99.38,13.68,13.69
99.90,14.50,14.61
99.55,15.65,15.87
97.80,16.38,16.62
97.78,16.43,16.68
95.38,16.93,17.16
94.03,16.43,16.58
93.65,16.25,16.38
87.13,16.08,16.01
96.48,16.35,16.56
93.43,16.05,16.15
94.93,15.93,16.05
94.25,17.30,17.55
55.90,17.05,16.27
49.13,16.30,15.27
46.35,15.90,14.76
44.73,15.75,14.55
42.95,15.70,14.45
42.00,15.60,14.31
41.13,15.55,14.23
40.08,15.50,14.15
39.78,15.50,14.14
39.43,15.50,14.14
39.60,15.50,14.14
39.20,15.40,14.02
39.25,15.38,13.99
39.23,15.33,13.94
38.98,15.23,13.82
39.33,15.13,13.72
39.85,14.95,13.54
